id,name,avatar_url,total_stake,own_stake,delegated_stake,allocated_stake,available_stake,number_of_allocations,number_of_subgraphs,query_fees_earned,indexing_rewards,total_rewards,is_active,is_underserving,is_suspicious,indexer_size,aer,qfr,aer_normalized,qfr_normalized,final_score,performance_flag,penalty,delegator_rewards,delegator_rewards_percentage
0xe9e284277648fcdb09b8efc1832c73c09b5ecf59,0xe9e284277648fcdb09b8efc1832c73c09b5ecf59,,116381388.04256096,7501396.611710288,108879991.43085067,116381339.0,49.04256096482277,181,181,16411.59412404836,3827608.9363249918,18578417.0343556,True,False,False,mega,16.074770580110496,0.00014101568400109538,1.29,1.0,10.0,Poor,0.0,14750808.098030608,79.40%
0xeccdf8231326a9c5aad32df76a633aaa4c49b104,catapulta.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=Qmf5EqXtJ3SBe5q1HmmEzGEUPqTWLoEdmdS4wXT14RKA4R,3760729.467493734,500000.0004014074,3260729.4670923264,3759999.9999999995,729.4674937343225,46,46,36726.892855851176,261994.13600685465,692942.6202403798,True,False,False,medium,8.17391304347826,0.00976779065315191,1.15,1.29,9.71,Excellent,0.0,430948.4842335252,62.19%
0xedca8740873152ff30a2696add66d1ab41882beb,pinax.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmcfnLUavDEGEvv1rRLZaK3epTx5i4DAyjSprQGGj4ijKf,37057017.48152669,3428825.7332731923,33628191.748253495,37056177.0,840.4815266877413,537,537,713971.2458687075,1849012.0376651874,9350088.730414703,True,False,False,large,3.450295810055866,0.019267266719627002,1.06,1.58,9.42,Excellent,0.0,7501076.692749516,80.22%
0xf00f7157fa8fd0420b87956d46058a16b2f23adc,p2p-org-booster.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmNPkXetfavnymqPwvJ7W7SSNNEspbeDdzHXHyb5kTizgk,31489772.265211947,1978130.4812465536,29511641.783965394,31489769.0,3.265211947262287,292,292,15232.675362949409,1183319.6058628997,6408908.189086238,True,False,False,large,5.392083732876713,0.00048373410941659844,1.1,1.01,9.99,Poor,0.0,5225588.583223338,81.54%
0xf7793bf9561c32ffbac603ce572fa55643f9cf72,0xf7793bf9561c32ffbac603ce572fa55643f9cf72,,5349588.724056879,3532257.9962388338,1817330.7278180448,5349000.0,588.7240568790585,3,3,4230.6425616885535,3183405.379709318,3183405.379709318,True,True,True,medium,178.3,0.0007909221465112271,4.21,1.02,10.0,Poor,2.1,0.0,0.00%
0xf9123292b4d958c53aaad8c5df0138ee0e62944b,figment-prime-2.eth,,101439875.42701983,15265907.241798267,86173968.18522157,123428535.80000001,-21988660.372980177,8,8,3299.6254930098225,4177296.5748603176,19891888.4517158,True,True,True,mega,385.714174375,2.673308462766211e-05,7.94,1.0,10.0,Poor,0.6,15714591.876855483,79.00%
0xf92f430dd8567b0d466358c79594ab58d919a6d4,ellipfra-indexer.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmeyxSkxpgCRVvKB8R5NcdqrgkukPFDKYhChx8dUYkqgaB,102732630.28049685,7100862.23351611,95631768.04698074,102742687.0,-10056.71950314939,1286,1286,1435311.2112468951,7414716.632340986,34008129.28857171,True,False,False,mega,1.9973306181959565,0.013969959840031194,1.04,1.42,9.58,Excellent,0.0,26593412.65623072,78.20%
0xfb168335f5a3868a03696904ed38fa95fd167c0e,validatrium.eth,,115384.47442480634,113424.87490474065,1959.599520065684,115384.0,0.4744248063361738,2,2,0.25447455808523445,15777.19432533636,15777.19432533636,True,True,True,small,11.5384,2.2054579325143385e-06,1.21,1.0,10.0,Poor,2.4,0.0,0.00%
0xfc842f81490dcb37e82d416b2d28327dfb24ba9a,grassets-tech-1.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmUvcJDne75w59GTUoKzaTr47NaohWyNnbEeCCr8FKkPAo,31075781.41584573,3031930.117329169,28043851.29851656,32881134.0,-1805352.5841542706,83,83,41993.73381481217,2580669.78752518,8742691.690741116,True,False,False,large,19.807912048192772,0.001277137638100078,1.36,1.04,9.96,Fair,0.0,6162021.903215936,70.48%
0xfeff9093f6b32d0e5cddba743b06a1fedb87c004,p-ops2.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmQauWpDHF9oc3Nth2HcdtYGknMPShrPbABhVzQ3HmQZbX,19542698.611046847,2675210.8223115657,16867487.78873528,19542694.0,4.611046846956015,68,68,161458.32205961357,2755508.373521528,10170844.464616882,True,False,False,medium,28.739255882352943,0.008261825215070838,1.52,1.25,9.75,Excellent,0.0,7415336.0910953535,72.91%
